Номер,Команда,Город,Сумма,Сумма перед последним,Рейтинг,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Тур 1,Р,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Тур 2,Р,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,Тур 3,Р,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,Тур 4,Р,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,Тур 5,Р,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,Тур 6,Р
,,,,,,39,52,32,36,46,53,44,54,37,53,50,49,44,40,44,,,29,25,41,30,42,35,43,32,50,33,48,54,44,48,43,,,28,25,37,51,37,40,44,33,34,49,34,55,34,43,46,,,25,26,34,25,28,29,43,44,27,26,38,48,29,45,34,,,26,26,39,38,27,44,35,51,50,31,50,26,48,48,47,,,25,34,38,39,45,34,38,42,48,32,42,35,40,27,34,,
,,,,,Взявших:,16,3,23,19,9,2,11,1,18,2,5,6,11,15,11,,,26,30,14,25,13,20,12,23,5,22,7,1,11,7,12,,,27,30,18,4,18,15,11,22,21,6,21,0,21,12,9,,,30,29,21,30,27,26,12,11,28,29,17,7,26,10,21,,,29,29,16,17,28,11,20,4,5,24,5,29,7,7,8,,,30,21,17,16,10,21,17,13,7,23,13,20,15,28,21,,
1,Anfield,Ереван,50,2470,676,1,,,,5,,,,,,,12,,,15,4,178,16,17,,19,,21,,23,,25,,,,,,6,184,31,32,33,,35,36,,38,39,,,,43,,45,9,314,46,47,48,49,,51,52,,54,55,,,58,59,60,11,0,61,62,63,,65,66,67,68,,70,,72,,,75,10,0,76,77,78,,80,81,82,,,,86,87,,89,90,10,0
2,Bravo Zulu,Атырау,42,1963,634,,,3,,,,7,,9,,,,,,,3,113,16,17,18,19,,21,,23,24,25,,,,,,8,275,,32,,,35,36,,38,39,,,,43,44,,7,246,46,47,48,49,50,51,52,53,54,55,,,58,,60,12,0,61,,,,65,66,67,,,70,,72,,,,6,0,76,,,79,80,81,,,,85,,,,89,,6,0
3,Gambler,Москва,41,1842,645,1,,3,4,,,,,9,,,,,,,4,144,16,17,18,19,,21,,23,,,,,28,,,7,236,31,32,33,,,36,,38,39,,41,,43,,,8,265,46,47,,49,50,51,,,54,55,,,,,,7,0,61,62,63,,65,,67,,,70,,72,,,,7,0,76,77,,,80,81,,,,,,87,88,89,90,8,0
4,Арагаст ,Ереван,52,2512,736,,,3,4,,6,,,,,,,,,,3,121,16,17,18,19,20,21,22,23,,25,,,,,30,10,353,31,32,33,,35,,,38,39,,41,,43,,,8,262,46,,,49,50,51,52,,54,55,56,57,58,59,60,12,0,61,62,63,64,65,,67,,,70,,72,,,,8,0,76,77,78,79,80,,,,,85,86,87,88,89,90,11,0
5,Белые и пушистые,Ереван,38,1908,526,,,,,,,,,,,,,,,,0,0,16,17,,19,,,,23,,25,,,28,,30,7,236,31,32,,,,,37,38,39,40,,,43,44,,8,290,46,47,,49,50,,52,,54,55,,,58,,60,9,0,61,62,,,65,,,,69,70,,,,74,,6,0,76,77,78,,,,,83,,85,86,,,89,90,8,0
6,БиВНИ ИА,Москва,40,1986,461,1,2,3,4,,,,,9,,,,,14,,6,236,,17,,,20,,,23,,,,,,,,3,99,,32,,,,,,38,39,,,,43,,,4,126,46,47,48,49,50,51,,53,,,,,58,,60,9,0,61,62,,64,65,,67,,,70,,72,,,,7,0,76,77,78,79,,81,82,83,,85,,,88,89,90,11,0
7,Больше чем Пи,Ереван,22,1056,269,,,,,,,,,9,,,12,,,,2,86,,17,18,19,,,,,,,,,,,,3,96,31,32,,,,,,,,,41,,,,,3,87,46,47,,49,,,,53,54,55,,,58,,,7,0,61,62,,,,,,,,70,,72,,,,4,0,76,,,,,,,,,85,,,,89,,3,0
8,Братва с раёна,Тбилиси,42,1933,611,1,,3,4,,,,,9,,,,,,,4,144,,17,18,19,,21,,23,,25,,,,,30,7,239,31,32,33,,35,,,38,39,,41,,,,,7,228,46,47,48,49,,51,,,54,55,56,,58,,60,10,0,61,62,,64,65,,,,,,,72,,,,5,0,76,77,,,,81,,83,,85,,87,88,89,90,9,0
